Day,Coronavirus,corona,virus corona,covid,Pneumonia
2/1/2020,15,20,8,0,0
2/2/2020,22,18,16,0,2
2/3/2020,26,23,13,0,2
2/4/2020,14,17,7,0,0
2/5/2020,15,15,11,0,4
2/6/2020,15,10,8,0,0
2/7/2020,20,15,9,0,0
2/8/2020,20,16,9,0,0
2/9/2020,17,18,9,0,0
2/10/2020,22,19,15,0,4
2/11/2020,11,12,6,0,0
2/12/2020,16,12,10,2,2
2/13/2020,18,10,10,0,2
2/14/2020,13,19,8,2,0
2/15/2020,12,13,8,0,2
2/16/2020,14,8,9,0,2
2/17/2020,10,11,4,3,0
2/18/2020,9,9,5,2,2
2/19/2020,12,8,6,4,0
2/20/2020,10,8,4,0,0
2/21/2020,8,5,4,4,0
2/22/2020,13,8,9,2,2
2/23/2020,10,9,4,0,4
2/24/2020,16,18,8,4,2
2/25/2020,11,14,6,3,0
2/26/2020,23,18,9,2,0
2/27/2020,19,22,10,3,0
2/28/2020,25,22,13,2,2
2/29/2020,17,30,9,3,0
3/1/2020,14,21,9,0,0
3/2/2020,45,78,24,2,0
3/3/2020,28,49,17,3,0
3/4/2020,24,41,16,5,0
3/5/2020,18,26,9,4,0
3/6/2020,17,35,9,4,2
3/7/2020,17,32,8,2,2
3/8/2020,20,23,12,2,0
3/9/2020,17,31,10,2,0
3/10/2020,17,43,12,5,0
3/11/2020,30,32,15,3,2
3/12/2020,21,40,11,7,0
3/13/2020,36,71,18,5,0
3/14/2020,51,100,33,9,2
